Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Pass_Rate_Sem1,Pass_Rate_Sem2,Academic_Momentum,Academic_Fatigue,Grade_Trend,Avg_Grade,Total_Approved,Overall_Pass_Rate,Load_Change,Zero_Activity_Sem2,Financial_Stress,Dropout_Risk,Credit_Completion,Grade_x_PassRate,Sem2_Intensity,Enrollment_Stability,Active_No_Graduate
4,39,1,9991,0,1,120.0,1,19,19,9,3,113.9,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,2,1.0,1.0,1.0,0.0,0.5999999999999996,11.3,10,1.0,0,0,1,1.0,1.0,11.3,5.0,1.0,1
1,44,1,9130,1,39,120.0,6,4,4,3,6,120.0,0,0,1,0,0,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,0,0.5,0.5,0.25,0.0,0.3333333333333339,11.833333333333332,6,0.5,0,0,3,3.5,0.5,5.916666666666666,3.0,1.0,1
1,1,5,9773,1,1,126.0,1,3,3,2,2,121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,0,0.6666666666666666,0.0,0.0,-0.6666666666666666,-12.75,6.375,4,0.36363636363636365,-1,0,2,3.0,0.36363636363636365,2.3181818181818183,0.0,0.33333333333333337,1
1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,2,1.0,1.0,1.0,0.0,1.0,15.3,10,1.0,0,0,1,1.0,1.0,15.3,5.0,1.0,1
1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,2,0.7142857142857143,0.875,0.625,0.1607142857142857,0.4148571428571408,14.135428571428571,12,0.8,1,0,1,1.125,0.8,11.308342857142858,7.0,0.8392857142857143,1
1,39,1,9991,0,1,133.1,1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,2.0,0.0,0.0,0.0,1.0,1
1,17,1,9991,0,1,154.0,1,38,38,4,5,134.1,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,1,0.4,0.6,0.24,0.19999999999999996,2.833333333333334,12.916666666666668,5,0.5,0,0,1,1.4,0.5,6.458333333333334,3.0,0.8,1
1,17,2,9238,1,1,130.0,1,19,19,9,9,127.6,1,0,0,1,0,0,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,2,1.0,0.8333333333333334,0.8333333333333334,-0.16666666666666663,1.5333333333333332,12.433333333333334,11,0.9166666666666666,0,0,1,1.1666666666666665,0.9166666666666666,11.397222222222222,5.0,0.8333333333333334,1
1,17,6,9500,1,1,132.0,1,37,19,7,7,132.4,1,0,0,1,0,1,22,0,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,2,0.8571428571428571,0.875,0.75,0.017857142857142905,0.2547619047619065,13.644047619047619,13,0.8666666666666667,1,0,0,0.125,0.8666666666666667,11.82484126984127,7.0,0.9821428571428571,1
1,44,1,8014,0,39,130.0,1,1,19,9,9,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,2,1.0,1.0,1.0,0.0,1.7857142857142865,12.392857142857142,12,1.0,0,0,0,0.0,1.0,12.392857142857142,6.0,1.0,1
1,1,1,9238,1,1,139.0,1,37,38,9,9,126.1,0,0,0,1,0,1,19,0,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,2,0.8333333333333334,1.0,0.8333333333333334,0.16666666666666663,0.5,12.583333333333334,11,0.9166666666666666,0,0,0,0.0,0.9166666666666666,11.534722222222221,6.0,0.8333333333333334,1
1,39,1,9254,1,1,130.0,1,19,38,9,7,113.5,0,0,0,1,0,1,24,0,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,2,1.0,1.0,1.0,0.0,0.5,13.916666666666666,12,1.0,0,0,0,0.0,1.0,13.916666666666666,6.0,1.0,1
1,1,1,9773,1,1,127.0,1,1,19,7,7,121.8,1,0,0,1,0,1,20,0,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,1,0.6666666666666666,0.5,0.3333333333333333,-0.16666666666666663,-3.0,12.5,7,0.5833333333333334,0,0,0,0.5,0.5833333333333334,7.291666666666667,3.0,0.8333333333333334,1
1,1,3,9130,1,1,167.0,1,37,37,90,90,159.3,0,0,0,1,0,0,19,0,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,2,1.0,1.0,1.0,0.0,1.0857142857142872,15.257142857142856,10,1.0,0,0,1,1.0,1.0,15.257142857142856,5.0,1.0,1
1,1,1,9500,1,1,130.0,1,1,19,5,5,129.1,1,0,0,1,0,0,18,0,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,2,1.0,1.0,1.0,0.0,0.5505555555555564,13.319722222222222,15,1.0,1,0,1,1.0,1.0,13.319722222222222,8.0,1.0,1
2,7,1,9254,1,3,130.0,1,1,3,4,3,130.0,0,0,0,1,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,2.0,0.0,0.0,0.0,1.0,1
1,17,1,9500,1,1,141.0,1,38,38,7,10,139.8,1,0,0,1,0,0,18,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,2,1.0,1.0,1.0,0.0,0.0,14.935,16,1.0,0,0,1,1.0,1.0,14.935,8.0,1.0,1
1,1,2,9500,1,1,125.0,1,19,19,9,9,114.9,0,0,0,1,0,0,18,0,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,2,0.8571428571428571,0.875,0.75,0.017857142857142905,-0.9119047619047613,12.677380952380952,13,0.8666666666666667,1,0,1,1.125,0.8666666666666667,10.987063492063493,7.0,0.9821428571428571,1
1,44,1,9238,1,39,130.0,1,19,1,9,9,131.9,0,0,0,1,0,1,21,0,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,2,1.0,1.0,1.0,0.0,0.0,12.0,12,1.0,0,0,0,0.0,1.0,12.0,6.0,1.0,1
1,17,1,9070,1,1,127.0,1,1,1,3,4,130.2,1,0,0,1,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,1,0.8333333333333334,0.16666666666666666,0.1388888888888889,-0.6666666666666667,-1.4000000000000004,10.7,6,0.5,0,0,1,1.8333333333333335,0.5,5.35,1.0,0.33333333333333326,1
4,42,1,9500,1,19,133.1,1,1,1,5,5,126.0,1,0,0,1,1,0,29,0,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,0,0.7142857142857143,0.625,0.44642857142857145,-0.0892857142857143,-0.9000000000000004,11.45,10,0.6666666666666666,1,0,1,1.375,0.6666666666666666,7.633333333333333,5.0,0.9107142857142857,1
1,1,3,171,1,1,139.0,1,19,19,5,3,128.2,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,2.0,0.0,0.0,0.0,1.0,0
1,44,1,9003,1,39,130.0,1,19,37,9,9,130.0,1,0,0,1,1,0,23,0,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,2,1.0,1.0,1.0,0.0,-0.14285714285714235,12.5,12,1.0,0,0,1,1.0,1.0,12.5,6.0,1.0,1
1,17,1,9147,1,1,148.0,1,38,37,5,5,134.0,0,0,0,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,2.0,0.0,0.0,0.0,1.0,1
1,17,1,9500,1,1,150.0,1,37,19,8,4,130.8,0,0,0,1,1,0,24,0,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,2,1.0,1.0,1.0,0.0,1.7750000000000004,12.8625,15,1.0,1,0,1,1.0,1.0,12.8625,8.0,1.0,1
1,1,1,171,1,1,141.0,1,19,19,5,10,135.8,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,1,3.0,0.0,0.0,0.0,1.0,0
1,17,4,9254,1,1,118.0,1,38,37,5,7,111.7,1,0,0,1,1,0,18,0,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,0,0.5,0.16666666666666666,0.08333333333333333,-0.33333333333333337,0.3333333333333339,11.833333333333332,4,0.3333333333333333,0,0,1,1.8333333333333335,0.3333333333333333,3.9444444444444438,1.0,0.6666666666666666,1
1,17,3,9147,1,1,120.0,1,19,19,4,7,115.5,1,0,1,1,1,0,18,0,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,0,0.6,0.6,0.36,0.0,0.5238095238095237,10.595238095238095,6,0.6,0,0,2,2.4,0.6,6.357142857142857,3.0,1.0,1
1,18,4,9254,1,1,106.0,1,19,37,7,7,106.0,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,0,0.6666666666666666,0.16666666666666666,0.1111111111111111,-0.5,0.5,10.75,5,0.4166666666666667,0,0,0,0.8333333333333334,0.4166666666666667,4.479166666666667,1.0,0.5,1
1,17,4,9773,1,1,121.0,1,1,19,9,8,120.3,1,0,1,1,1,1,19,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,2,1.0,1.0,1.0,0.0,-0.33333333333333215,13.5,12,1.0,0,0,1,1.0,1.0,13.5,6.0,1.0,1
1,17,4,9500,1,1,150.0,1,38,37,9,9,130.8,0,0,0,1,1,1,22,0,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,2,1.0,1.0,1.0,0.0,0.21269841269841372,14.94920634920635,15,1.0,1,0,0,0.0,1.0,14.94920634920635,8.0,1.0,1
2,39,1,8014,0,1,120.0,1,37,37,9,6,117.0,0,0,0,1,1,0,33,0,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,2,1.0,1.0,1.0,0.0,-0.3333333333333339,11.833333333333332,12,1.0,0,0,1,1.0,1.0,11.833333333333332,6.0,1.0,1
1,39,1,9991,0,2,140.0,1,3,3,2,2,155.7,1,0,0,1,1,0,35,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,0,1,2.0,0.0,0.0,0.0,1.0,1
1,17,1,9254,1,1,120.0,1,19,19,4,4,125.5,0,0,0,1,1,0,18,0,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,1,1.0,0.6,0.6,-0.4,-0.6666666666666661,11.666666666666668,8,0.8,0,0,1,1.4,0.8,9.333333333333334,3.0,0.6,1
2,39,1,8014,0,1,130.0,1,37,37,9,6,110.0,1,0,0,1,0,0,33,0,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,2,1.0,0.8333333333333334,0.8333333333333334,-0.16666666666666663,0.0,11.0,11,0.9166666666666666,0,0,1,1.1666666666666665,0.9166666666666666,10.083333333333332,5.0,0.8333333333333334,1
1,42,1,9500,1,1,160.0,1,37,38,9,7,161.0,1,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,2,0.875,0.875,0.765625,0.0,0.0,13.08,14,0.875,0,0,0,0.125,0.875,11.445,7.0,1.0,1
1,39,1,9670,1,1,120.0,1,1,19,4,5,100.0,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,2,0.8,1.0,0.8,0.19999999999999996,1.0999999999999996,11.05,9,0.9,0,0,0,0.0,0.9,9.945,5.0,0.8,1
1,17,1,9070,1,1,124.0,1,19,38,4,0,117.6,1,0,0,1,1,0,20,0,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,2,1.0,0.8333333333333334,0.8333333333333334,-0.16666666666666663,0.5333333333333332,10.933333333333334,11,0.9166666666666666,0,0,1,1.1666666666666665,0.9166666666666666,10.022222222222222,5.0,0.8333333333333334,1
1,39,1,9500,1,1,133.1,1,1,1,4,10,100.8,0,0,0,1,1,0,24,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,2.0,0.0,0.0,0.0,1.0,1
1,17,2,9773,1,1,133.1,41,19,1,9,9,105.0,1,0,0,0,0,0,21,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,2,1.0,1.0,1.0,0.0,-0.5,13.75,12,1.0,0,0,2,2.0,1.0,13.75,6.0,1.0,1
1,15,1,9130,1,1,133.1,41,1,1,4,4,100.0,0,0,0,1,0,0,26,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,0,0.3333333333333333,0.0,0.0,-0.3333333333333333,-12.0,6.0,2,0.16666666666666666,0,0,1,2.0,0.16666666666666666,1.0,0.0,0.6666666666666667,1
2,39,1,9853,1,10,133.1,1,37,34,0,0,115.5,0,0,0,1,0,0,39,0,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,0,0.5,0.0,0.0,-0.5,-12.666666666666666,6.333333333333333,3,0.25,0,0,1,2.0,0.25,1.5833333333333333,0.0,0.5,1
2,39,1,8014,0,1,133.1,1,37,19,9,9,114.0,0,0,0,1,0,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,2,1.0,1.0,1.0,0.0,0.4583333333333339,12.104166666666668,14,1.0,-2,0,1,1.0,1.0,12.104166666666668,6.0,1.0,1
1,1,5,9773,1,1,135.0,1,37,1,5,5,124.9,1,0,0,1,0,0,18,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,2,1.0,1.0,1.0,0.0,-0.33333333333333215,13.5,12,1.0,0,0,1,1.0,1.0,13.5,6.0,1.0,1
